#cosmological_parameters--omega_m    cosmological_parameters--h0    cosmological_parameters--omega_b    cosmological_parameters--n_s    cosmological_parameters--a_s    cosmological_parameters--tau    horndeski_parameters--parameters_smg__2    horndeski_parameters--parameters_smg__3    cosmological_parameters--sigma_8
6.889999617959061910e-05 -4.972837261417581753e-05 5.427567808769306277e-06 -2.614551438318604061e-05 7.009955768323443377e-14 3.613093485310320002e-06 -1.462055096601743180e-03 1.350412778612291882e-03 3.853152712863561652e-05
-4.972837261417581753e-05 3.639446838771637986e-05 -3.846962295894544606e-06 1.881553195424696026e-05 -4.764871030504923941e-14 -2.294187638009947382e-06 1.061988353620422045e-03 -9.773066241328799784e-04 -2.677900202565352891e-05
5.427567808769306277e-06 -3.846962295894544606e-06 4.587536212629659921e-07 -2.097838818154688595e-06 5.599215542629797507e-15 2.246395111361616363e-07 -1.052390218804921554e-04 9.593214552037922346e-05 2.999992675395070011e-06
-2.614551438318604061e-05 1.881553195424696026e-05 -2.097838818154688595e-06 1.993890893119517599e-05 -2.555422760537506307e-14 -7.924293489955690683e-08 5.114998770525595959e-04 -5.556224094519572306e-04 -1.249002888955918059e-05
7.009955768323443377e-14 -4.764871030504923941e-14 5.599215542629797507e-15 -2.555422760537506307e-14 4.690609197847825487e-21 1.070130141965141630e-12 -1.723143876057503563e-11 9.637254293175251052e-12 7.912653997021145002e-13
3.613093485310320002e-06 -2.294187638009947382e-06 2.246395111361616363e-07 -7.924293489955690683e-08 1.070130141965141630e-12 2.474871262678442815e-04 -3.810045697833424477e-03 2.050328496704267693e-03 1.751588638065673100e-04
-1.462055096601743180e-03 1.061988353620422045e-03 -1.052390218804921554e-04 5.114998770525595959e-04 -1.723143876057503563e-11 -3.810045697833424477e-03 3.110194526356362954e-01 -1.893833138318526121e-01 -1.230413145013121382e-03
1.350412778612291882e-03 -9.773066241328799784e-04 9.593214552037922346e-05 -5.556224094519572306e-04 9.637254293175251052e-12 2.050328496704267693e-03 -1.893833138318526121e-01 3.169726810211708767e-01 4.222066112000421971e-03
3.853152712863561652e-05 -2.677900202565352891e-05 2.999992675395070011e-06 -1.249002888955918059e-05 7.912653997021145002e-13 1.751588638065673100e-04 -1.230413145013121382e-03 4.222066112000421971e-03 2.275107321579293855e-04
